,name,state,price in €,rooms,size
152,Apartment Frederik Hendrikplantsoen,1052 XX Amsterdam (Frederik Hendrikbuurt),"2,500 per month",4 rooms,100 m²
153,Apartment Leidsekade,1017 PM Amsterdam (De Weteringschans),"6,250 per month",4 rooms,165 m²
154,Apartment Eerste Jan van der Heijdenstraat 129 C,1072 TR Amsterdam (Oude Pijp),"2,600 per month",3 rooms,106 m²
155,Apartment Antillenstraat 21 HS,1058 GX Amsterdam (Westindische Buurt),"1,475 per month",2 rooms,65 m²
156,House Reguliersgracht 87,1017 LN Amsterdam (De Weteringschans),"3,600 per month",4 rooms,125 m²
157,Apartment Kanaalstraat 70 3,1054 XK Amsterdam (Helmersbuurt),"1,400 per month",2 rooms,45 m²
158,Apartment Nieuwe Keizersgracht,1018 DS Amsterdam (Weesperbuurt/Plantage),"3,495 per month",3 rooms,200 m²
159,Apartment Kinkerstraat 126 C,1053 ED Amsterdam (Kinkerbuurt),"1,200 per month",2 rooms,43 m²
160,Apartment Anjeliersstraat,1015 ND Amsterdam (Jordaan),"1,500 per month",2 rooms,41 m²
161,Apartment Amstelveenseweg 318 1,1076 CS Amsterdam (Stadionbuurt),"1,750 per month",3 rooms,70 m²
162,Apartment Linnaeuskade 22 2,1098 BG Amsterdam (Middenmeer),"1,875 per month",3 rooms,112 m²
163,Apartment Gunterstein 57,1081 CH Amsterdam (Buitenveldert-West),"2,100 per month",5 rooms,106 m²
164,Apartment Palmgracht 11 2,1015 HJ Amsterdam (Jordaan),"1,900 per month",3 rooms,46 m²
165,Apartment Tweede Jan Steenstraat,1074 CT Amsterdam (Oude Pijp),"2,200 per month",3 rooms,70 m²
166,Apartment Amstelboulevard 230,1096 HM Amsterdam (Omval/Overamstel),"2,305 per month",4 rooms,151 m²
167,Apartment Keizersgracht,1017 DR Amsterdam (Grachtengordel-Zuid),"2,550 per month",4 rooms,115 m²
168,Studio Jacob van Lennepkade,1053 NH Amsterdam (Van Lennepbuurt),"1,400 per month",2 rooms,50 m²
169,Apartment Jesse Owenshof,1034 WT Amsterdam (Banne Buiksloot),"1,450 per month",4 rooms,105 m²
170,Apartment Nieuwmarkt,1011 JP Amsterdam (Nieuwmarkt/Lastage),"1,500 per month",2 rooms,47 m²
171,Apartment Beemsterstraat 546 b1,1024 BV Amsterdam (Waterlandpleinbuurt),"1,095 per month",2 rooms,62 m²
172,Apartment Beemsterstraat 546 D7,1024 BV Amsterdam (Waterlandpleinbuurt),875 per month,2 rooms,62 m²
173,Apartment Churchill-laan 47 D,1078 DG Amsterdam (Scheldebuurt),"2,350 per month",4 rooms,129 m²
174,Apartment Solebaystraat,1055 ZS Amsterdam (Landlust),"1,400 per month",3 rooms,41 m²
175,Apartment Sint Willibrordusstraat,1073 VA Amsterdam (Nieuwe Pijp),"1,600 per month",2 rooms,50 m²
176,Apartment Kanaalstraat 183 2,1054 XG Amsterdam (Overtoomse Sluis),"1,500 per month",2 rooms,50 m²
177,Apartment Waldenlaan 41,1093 NH Amsterdam (Dapperbuurt),"1,950 per month",3 rooms,75 m²
178,Apartment Ferdinand Bolstraat 104 I,1072 LN Amsterdam (Oude Pijp),"1,450 per month",2 rooms,45 m²
179,Apartment Cornelis Schuytstraat,1071 JJ Amsterdam (Museumkwartier),"1,750 per month",3 rooms,56 m²
180,Apartment Schoolstraat,1054 KD Amsterdam (Overtoomse Sluis),"1,500 per month",2 rooms,35 m²
181,Apartment John Blankensteinstraat,1095 MB Amsterdam (Zeeburgereiland/Nieuwe Diep),"2,950 per month",5 rooms,130 m²
182,House Da Costakade,1053 WV Amsterdam (Da Costabuurt),"1,950 per month",2 rooms,60 m²
183,Apartment Cruquiusweg,1019 AK Amsterdam (Oostelijk Havengebied),"2,500 per month",3 rooms,85 m²
184,Apartment Staringplein,1054 VK Amsterdam (Overtoomse Sluis),"1,800 per month",3 rooms,57 m²
185,Apartment Balboastraat 25,1057 VT Amsterdam (Hoofdweg e.o.),"1,650 per month",2 rooms,57 m²
186,Apartment Jan van Galenstraat 307 1,1056 CB Amsterdam (Van Galenbuurt),"1,695 per month",3 rooms,49 m²
187,Apartment Eef Kamerbeekstraat,1095 MP Amsterdam (Zeeburgereiland/Nieuwe Diep),"1,750 per month",3 rooms,89 m²
188,Apartment Kuiperssteeg,1012 HR Amsterdam (Burgwallen-Oude Zijde),"1,950 per month",1 room,85 m²
189,Apartment Reigersbos,1106 AP Amsterdam (Holendrecht/Reigersbos),"1,395 per month",2 rooms,58 m²
190,Apartment Koninginneweg 153 E,1075 CM Amsterdam (Willemspark),"2,050 per month",2 rooms,85 m²
191,Apartment Marco Polostraat,1056 DM Amsterdam (Van Galenbuurt),"1,595 per month",3 rooms,45 m²
192,Apartment Jacob van Lennepstraat 230 A,1053 KB Amsterdam (Van Lennepbuurt),"2,750 per month",5 rooms,117 m²
193,Apartment Anjeliersstraat,1015 ND Amsterdam (Jordaan),"1,500 per month",2 rooms,41 m²
194,Apartment Vrolikstraat,1092 TZ Amsterdam (Oosterparkbuurt),"1,695 per month",3 rooms,53 m²
195,Apartment Nieuwe Kerkstraat,1018 VK Amsterdam (Weesperbuurt/Plantage),"1,795 per month",3 rooms,81 m²
196,Apartment Bezaanjachtplein,1034 CR Amsterdam (Banne Buiksloot),"1,300 per month",1 room,28 m²
197,Apartment Emmy Andriessestraat 544,1087 NE Amsterdam (IJburg Zuid),"2,006 per month",3 rooms,133 m²
198,Apartment Utrechtsestraat 79 D,1017 VJ Amsterdam (Grachtengordel-Zuid),"1,500 per month",2 rooms,38 m²
199,Apartment Brouwersgracht,1015 GJ Amsterdam (Jordaan),"1,800 per month",3 rooms,54 m²
200,Apartment Prinsengracht 528 2,1017 KJ Amsterdam (De Weteringschans),"2,200 per month",2 rooms,80 m²
201,Apartment Spuistraat 224 3,1012 VT Amsterdam (Burgwallen-Nieuwe Zijde),"1,450 per month",2 rooms,40 m²
202,Apartment Rijnstraat,1079 HH Amsterdam (Rijnbuurt),"1,495 per month",3 rooms,65 m²
203,Apartment Madurastraat 14 B,1094 GL Amsterdam (Indische Buurt West),"1,800 per month",3 rooms,57 m²
204,Apartment Jacob Catskade,1052 BT Amsterdam (Frederik Hendrikbuurt),"1,850 per month",3 rooms,80 m²
205,Apartment Saskia van Uijlenburgkade 146 1,1058 GA Amsterdam (Westlandgracht),"2,500 per month",3 rooms,105 m²
206,Apartment Amstelkade 71 II,1078 AL Amsterdam (IJselbuurt),"1,600 per month",2 rooms,52 m²
207,Apartment Jan van Duivenvoordestraat,1067 MT Amsterdam (Geuzenveld),"1,800 per month",4 rooms,96 m²
208,Apartment Van Suchtelen van de Haarestraat,1068 GV Amsterdam (Osdorp-Oost),"1,900 per month",4 rooms,100 m²
209,Apartment Tweede Van der Helststraat,1073 AM Amsterdam (Zuid Pijp),"1,650 per month",2 rooms,57 m²
210,Apartment Groenendaalstraat,1058 LH Amsterdam (Hoofddorppleinbuurt),"2,250 per month",4 rooms,115 m²
211,Apartment Bloys van Treslongstraat,1056 WX Amsterdam (Landlust),"1,450 per month",3 rooms,47 m²
212,Apartment Carolina MacGillavrylaan,1098 XB Amsterdam (Middenmeer),"1,600 per month",2 rooms,75 m²
213,Apartment Keizersgracht 463 C-2,1017 DK Amsterdam (Grachtengordel-Zuid),"1,630 per month",2 rooms,40 m²
214,Apartment Ruyschstraat,1091 CB Amsterdam (Weesperzijde),"1,850 per month",2 rooms,67 m²
215,Apartment Winterjanpad,1036 KN Amsterdam (Tuindorp Oostzaan),"1,650 per month",2 rooms,53 m²
216,Apartment Prinseneiland,1013 LR Amsterdam (Haarlemmerbuurt),"2,495 per month",2 rooms,100 m²
217,Apartment Leksmondhof,1108 EW Amsterdam (Nellestein),"1,400 per month",2 rooms,73 m²
218,Apartment Warmondstraat,1058 KX Amsterdam (Hoofddorppleinbuurt),"1,800 per month",3 rooms,63 m²
219,Apartment Gerard Doustraat,1073 VW Amsterdam (Oude Pijp),"1,650 per month",2 rooms,40 m²
220,Apartment Cornelis Trooststraat,1072 JE Amsterdam (Nieuwe Pijp),"1,850 per month",3 rooms,62 m²
221,Apartment Spuistraat 229 N,1012 VP Amsterdam (Burgwallen-Nieuwe Zijde),"2,750 per month",2 rooms,55 m²
222,Apartment Mary van der Sluisstraat 332,1095 ME Amsterdam (Zeeburgereiland/Nieuwe Diep),"2,250 per month",3 rooms,110 m²
223,House Kijkduinstraat,1055 XZ Amsterdam (Landlust),"1,450 per month",2 rooms,57 m²
224,Apartment Jacob van Lennepstraat 230 A,1053 KB Amsterdam (Van Lennepbuurt),"2,750 per month",5 rooms,117 m²
225,Apartment Anjeliersstraat,1015 ND Amsterdam (Jordaan),"1,500 per month",2 rooms,41 m²
226,Apartment Corantijnstraat,1058 DC Amsterdam (Westindische Buurt),"2,000 per month",4 rooms,80 m²
227,Apartment Marius Meijboomstraat,1087 LD Amsterdam (IJburg Zuid),"1,650 per month",3 rooms,90 m²
228,Apartment Leo Hornstraat 301,1095 MN Amsterdam (Zeeburgereiland/Nieuwe Diep),"1,900 per month",3 rooms,88 m²
229,Apartment Cas Oorthuyskade,1087 DP Amsterdam (IJburg West),"1,600 per month",3 rooms,83 m²
230,Apartment Reguliersbreestraat 42 II,1017 CN Amsterdam (Grachtengordel-Zuid),"2,400 per month",3 rooms,95 m²
231,Apartment Gentiaanplein,1031 AS Amsterdam (Volewijck),"1,100 per month",3 rooms,62 m²
232,Apartment Ceintuurbaan,1072 EX Amsterdam (Oude Pijp),"1,950 per month",2 rooms,60 m²
233,Apartment Groenhoven,"1103 LL Amsterdam (Bijlmer Oost (E,G,K))","1,450 per month",3 rooms,54 m²
234,Apartment Joan Melchior Kemperstraat,1051 TV Amsterdam (Staatsliedenbuurt),"1,500 per month",2 rooms,60 m²
